category,name,display_name,taxonomy_path,unit,price_expected,price_additional,price_max_guarantee,material_allowance,labor_minutes,haul_off,rate_year,refer_note,basis,sources,confidence,flags
Appliances,Appliances > Dryer > Install / Upgrade Plug Type,Dryer - Install / Upgrade Plug Type,Labor > Appliances > Dryer > Install / Upgrade Plug Type,each,90,75,135,15,45,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,Swap 3-prong<->4-prong dryer cord at terminal block + ground strap. Cord swap legal; if receptacle/circuit rework needed -> licensed electrical.,Anchor: Dryer Replace/Upgrade Electrical Plug $90/45min; exact match,high,VERIFY
Appliances,Appliances > Dryer > Install New - Ground Up,Dryer - Install New - Ground Up,Labor > Appliances > Dryer > Install New - Ground Up,each,85,60,100,10,45,no,2026,,"Set dryer, connect vent + plug into existing outlet (electric). Existing hookups. Matches install anchor.",Anchor: Dryer Install Or Remove $85/45min; Homewyse washer/dryer labor w/ existing hookups $100-300,high,
Appliances,Appliances > Dryer > Replace Belt,Dryer - Replace Belt,Labor > Appliances > Dryer > Replace Belt,each,130,90,170,25,60,no,2026,,"Open cabinet, route new drum belt around idler/motor pulley, reassemble. Mirrors appliance repair anchor.","HomeGuide dryer belt $100-250, part $10-70 (homeguide.com/costs/dryer-repair-cost)",med,
Appliances,Appliances > Dryer > Replace Heating Elements,Dryer - Replace Heating Elements,Labor > Appliances > Dryer > Replace Heating Elements,each,150,105,195,40,60,no,2026,,"Access + swap electric heating element/coil assembly, test. Element part mid-grade.","Angi/HomeGuide dryer heating element $100-350, avg $230 (angi.com/articles/cost-to-replace-heating-element-in-dryer.htm)",med,
Appliances,Appliances > Dryer > Replace Knobs,Dryer - Replace Knobs,Labor > Appliances > Dryer > Replace Knobs,each,45,25,50,15,20,no,2026,,Pull-and-press knob swap; trivial. Small-part swap tier.,Anchor tier: Replace Filters/Turntable $43.33/20min; knob part $10-25,high,
Appliances,Appliances > Freezer > Clean Coils & Heat Exchanger,Freezer - Clean Coils & Heat Exchanger,Labor > Appliances > Freezer > Clean Coils & Heat Exchanger,each,80,55,105,5,45,no,2026,,"Pull unit, vacuum/brush + blow out condenser coils, reset. Maintenance task; mirrors fridge coil clean.",HomeGuide appliance repair labor; FL appliance service $75-125/hr; coil clean common maint,med,
Appliances,Appliances > Freezer > Install / Replace,Freezer - Install / Replace,Labor > Appliances > Freezer > Install / Replace,each,110,75,125,10,60,yes,2026,,"Set standalone freezer, plug in, level; remove old if replacing. Same tier as fridge replace/haul.",Anchor: Refrigerator Replace Appliance $110/60min; Homewyse fridge install labor $75-200,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Haul Away Old Range,Full Range (Cooktop + Oven) - Haul Away Old Range,Labor > Appliances > Full Range (Cooktop + Oven) > Haul Away Old Range,each,50,30,55,0,30,yes,2026,,"Disconnect + slide out + load old range for dump run. Labor only, disposal added by engine.",Angi appliance haul-away $50-100; anchor Range/Oven Install Or Remove $85,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Install New Range - Free Standing,Full Range (Cooktop + Oven) - Install New Range - Free Standing,Labor > Appliances > Full Range (Cooktop + Oven) > Install New Range - Free Standing,each,85,70,130,10,45,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Slide in freestanding range, plug into existing 240V, level, anti-tip. Electric = legal; gas hookup -> licensed gas.",Anchor: Range/Oven Install Or Remove $85/45min; Homewyse range labor $100-300 existing conn (homewyse.com/services/cost_to_install_range.html),high,VERIFY
Appliances,Appliances > Full Range (Cooktop + Oven) > Level Range,Full Range (Cooktop + Oven) - Level Range,Labor > Appliances > Full Range (Cooktop + Oven) > Level Range,each,40,30,50,5,20,no,2026,,Adjust leveling feet to spec; quick standalone. Small-task tier.,Anchor: Range/Oven Install Anti-Tip $60/30min (partial); trivial adjustment,med,
Appliances,Appliances > Full Range (Cooktop + Oven) > Repair Broiler Drawer Rails,Full Range (Cooktop + Oven) - Repair Broiler Drawer Rails,Labor > Appliances > Full Range (Cooktop + Oven) > Repair Broiler Drawer Rails,each,95,65,110,20,45,no,2026,,Realign/replace broiler drawer glides. Exact match to book anchor.,Anchor: Range/Oven Repair/Replace Drawer Rails $95/45min; identical task,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Burner,Full Range (Cooktop + Oven) - Replace Burner,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Burner,each,65,35,75,15,30,no,2026,,Swap plug-in surface burner/element. Exact match to book anchor.,Anchor: Range/Oven Replace Burners/Coils $65/30min; identical,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Drip Pans,Full Range (Cooktop + Oven) - Replace Drip Pans,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Drip Pans,each,45,25,50,15,20,no,2026,,Drop-in drip pan swap; trivial. Small-part swap tier.,Anchor tier: Replace Filters/Turntable $43.33/20min; drip pan set $10-25,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Electric Coil,Full Range (Cooktop + Oven) - Replace Electric Coil,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Electric Coil,each,65,35,75,15,30,no,2026,,Unplug + swap coil element. Exact match to book anchor.,Anchor: Range/Oven Replace Burners/Coils $65/30min; identical,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Knob,Full Range (Cooktop + Oven) - Replace Knob,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Knob,each,45,25,50,15,20,no,2026,,Pull-and-press knob swap; trivial. Small-part swap tier.,Anchor tier: Replace Filters/Turntable $43.33/20min; knob $10-25,high,
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Oven Door,Full Range (Cooktop + Oven) - Replace Oven Door,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Oven Door,each,100,70,130,25,45,no,2026,,"Unhinge + swap oven door assembly, align. Mirrors microwave door anchor tier.",Anchor: Above Range Microwave Replace Door/Handle $100/45min; comparable scope,med,
Appliances,Appliances > Microwave > Install New - Ground Up,Microwave - Install New - Ground Up,Labor > Appliances > Microwave > Install New - Ground Up,each,165,140,250,15,90,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Over-range microwave: mount plate, hang unit, vent + plug to existing outlet. Exact match to book anchor. New ducting/circuit -> VERIFY.",Anchor: Above Range Microwave Replace/Install New $165/90min; Homewyse/Angi OTR microwave labor $100-300 (angi.com/articles/how-much-does-microwave-installation-cost.htm),high,VERIFY
Appliances,Appliances > Microwave > Replace Bulb,Microwave - Replace Bulb,Labor > Appliances > Microwave > Replace Bulb,each,45,25,50,10,20,no,2026,,Access + swap interior/vent bulb; trivial. Small-part swap tier.,Anchor tier: Change Fuse/Replace Filters $43-60/20-30min; bulb $5-15,high,
Appliances,Appliances > Microwave > Replace Door,Microwave - Replace Door,Labor > Appliances > Microwave > Replace Door,each,100,70,115,25,45,no,2026,,"Swap door/handle assembly, align latch/interlock. Exact match to book anchor.",Anchor: Above Range Microwave Replace Door/Handle $100/45min; identical,high,
Appliances,Appliances > Microwave > Replace Fuse,Microwave - Replace Fuse,Labor > Appliances > Microwave > Replace Fuse,each,60,35,70,10,30,no,2026,,"Access cabinet, swap line/thermal fuse, test. Exact match to book anchor.",Anchor: Above Range Microwave Change Fuse $60/30min; identical,high,
Appliances,Appliances > Microwave > Replace Turntable,Microwave - Replace Turntable,Labor > Appliances > Microwave > Replace Turntable,each,45,25,50,10,20,no,2026,,Drop-in turntable + roller swap; trivial. Exact match to book anchor.,Anchor: Above Range Microwave Replace Turn Table $43.33/20min; identical,high,
Appliances,Appliances > Range Hood > Install New - Ground Up,Range Hood - Install New - Ground Up,Labor > Appliances > Range Hood > Install New - Ground Up,each,225,190,340,25,120,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Mount hood, connect duct + wiring to existing supply. Exact match to book anchor. New circuit/ducting -> VERIFY.",Anchor: Range Hood Replace/Install New $225/120min; Homewyse range hood install labor comparable,high,VERIFY
Appliances,Appliances > Refrigerator > Clean & Blow Out Coils / Heat Exchanger,Refrigerator - Clean & Blow Out Coils / Heat Exchanger,Labor > Appliances > Refrigerator > Clean & Blow Out Coils / Heat Exchanger,each,80,55,105,5,45,no,2026,,"Pull fridge, vacuum/brush + blow out condenser coils, reset. Maintenance task.",FL appliance service $75-125/hr; HomeGuide appliance maint; common coil clean,med,
Appliances,Appliances > Refrigerator > Haul Away Old Refrigerator,Refrigerator - Haul Away Old Refrigerator,Labor > Appliances > Refrigerator > Haul Away Old Refrigerator,each,50,30,55,0,30,yes,2026,,"Disconnect + dolly out + load old fridge for dump run. Labor only, disposal line added by engine.",Angi appliance haul-away $50-100; anchor Refrigerator Replace $110,high,
Appliances,Appliances > Refrigerator > Install External Water Filter - Ground Up,Refrigerator - Install External Water Filter - Ground Up,Labor > Appliances > Refrigerator > Install External Water Filter - Ground Up,each,90,65,105,25,45,no,2026,,"Mount inline filter housing, tee into supply line, purge. Mirrors supply-line anchor tier.",Anchor: Refrigerator Replace Supply Line $90/45min; inline filter kit $20-40,high,
Appliances,Appliances > Refrigerator > Repair Water / Ice Dispenser,Refrigerator - Repair Water / Ice Dispenser,Labor > Appliances > Refrigerator > Repair Water / Ice Dispenser,each,145,125,220,20,75,no,2026,,Diagnose + repair dispenser valve/actuator/line. Exact match to repair anchor.,Anchor: Refrigerator Repair Appliance $145/75min; Angi fridge repair comparable,high,
Appliances,Appliances > Refrigerator > Replace Air Filter,Refrigerator - Replace Air Filter,Labor > Appliances > Refrigerator > Replace Air Filter,each,45,25,50,10,20,no,2026,,Drop-in fresh-air filter swap; trivial. Matches water filter anchor tier.,Anchor: Refrigerator Replace Water Filter $43.33/20min; identical tier,high,
Appliances,Appliances > Refrigerator > Replace Water / Ice Dispenser,Refrigerator - Replace Water / Ice Dispenser,Labor > Appliances > Refrigerator > Replace Water / Ice Dispenser,each,165,115,190,45,75,no,2026,,Swap dispenser module/ice maker assembly + reconnect line. Above repair; part mid-grade. Mirrors ice maker anchor.,Anchor: Refrigerator Replace Ice Maker $150/75min; part $30-60 dispenser module,high,
Appliances,Appliances > Refrigerator > Run & Install Supply Line - Ground Up,Refrigerator - Run & Install Supply Line - Ground Up,Labor > Appliances > Refrigerator > Run & Install Supply Line - Ground Up,each,130,110,195,25,60,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Run new 1/4 line from under-sink/valve to fridge, add saddle/tee valve, purge. Handyman-legal tap; if new supply plumbing branch -> VERIFY.",Anchor: Refrigerator Replace Supply Line $90/45min (this is longer ground-up run); Homewyse fridge water line add,med,VERIFY
Appliances,Appliances > Standalone Cooktop > Install New - Ground Up,Standalone Cooktop - Install New - Ground Up,Labor > Appliances > Standalone Cooktop > Install New - Ground Up,each,175,150,260,20,90,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Cut/fit counter opening, drop-in cooktop, connect to existing electric supply, clamp. Electric plug-in legal; hardwire/gas -> licensed.",Homewyse cooktop install labor $150-370; Angi cooktop (homewyse.com/services/cost_to_install_electric_cooktop.html),med,VERIFY
Appliances,Appliances > Standalone Cooktop > Replace Burner,Standalone Cooktop - Replace Burner,Labor > Appliances > Standalone Cooktop > Replace Burner,each,65,35,75,15,30,no,2026,,Swap plug-in surface burner/element. Matches range burner anchor.,Anchor: Range/Oven Replace Burners/Coils $65/30min; same task,high,
Appliances,Appliances > Standalone Cooktop > Replace Coil,Standalone Cooktop - Replace Coil,Labor > Appliances > Standalone Cooktop > Replace Coil,each,65,35,75,15,30,no,2026,,Unplug + swap coil element. Matches range coil anchor.,Anchor: Range/Oven Replace Burners/Coils $65/30min; same task,high,
Appliances,Appliances > Standalone Cooktop > Replace Drip Pans,Standalone Cooktop - Replace Drip Pans,Labor > Appliances > Standalone Cooktop > Replace Drip Pans,each,45,25,50,15,20,no,2026,,Drop-in drip pan swap; trivial. Small-part swap tier.,Anchor tier: Replace Filters/Turntable $43.33/20min; drip pan set $10-25,high,
Appliances,Appliances > Standalone Or Double Oven > Install Built In Oven - Ground Up,Standalone Or Double Oven - Install Built In Oven - Ground Up,Labor > Appliances > Standalone Or Double Oven > Install Built In Oven - Ground Up,each,175,150,260,20,90,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Slide built-in/wall oven into cabinet cutout, connect to existing supply, secure, level. Heavy 2-person. Electric plug/junction legal; hardwire new circuit -> licensed electrical.","Homewyse/Angi wall oven install labor $150-300 replace, ~$90/hr (angi.com/articles/cost-built-in-oven.htm)",med,VERIFY
Appliances,Appliances > Standalone Or Double Oven > Replace Built In Oven,Standalone Or Double Oven - Replace Built In Oven,Labor > Appliances > Standalone Or Double Oven > Replace Built In Oven,each,145,125,220,15,75,yes,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Pull old wall/double oven, disconnect, set new into cutout, reconnect existing supply, secure. Removes old -> haul. Hardwire rework -> licensed.",Angi wall oven replace labor $150-300; Homewyse wall oven; ~$90/hr (homewyse.com/services/cost_to_install_wall_oven.html),med,VERIFY
Appliances,Appliances > Standalone Or Double Oven > Replace Oven Door,Standalone Or Double Oven - Replace Oven Door,Labor > Appliances > Standalone Or Double Oven > Replace Oven Door,each,100,70,130,25,45,no,2026,,"Unhinge + swap oven door assembly, align. Mirrors microwave/range door tier.",Anchor: Above Range Microwave Replace Door/Handle $100/45min; comparable,med,
Appliances,Appliances > Trash Compactor > Install New - Ground Up,Trash Compactor - Install New - Ground Up,Labor > Appliances > Trash Compactor > Install New - Ground Up,each,180,155,270,25,90,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,"Fit compactor into/under cabinet, secure, connect to existing outlet, level. Plug-in legal; hardwire/new circuit -> licensed.","Angi/Homewyse trash compactor install basic ~$800 incl unit, labor-only lower; ~$90/hr (angi.com/articles/trash-compactor-installation-cost.htm)",low,VERIFY
Appliances,Appliances > Trash Compactor > Replace,Trash Compactor - Replace,Labor > Appliances > Trash Compactor > Replace,each,145,100,220,15,75,yes,2026,,"Pull old compactor, disconnect, set + reconnect new (existing hookups). Removes old -> haul. Swap tier above fridge.",Angi trash compactor install $800-2700 incl unit; labor-only swap comparable to range/DW replace,low,
Appliances,Appliances > Trash Compactor > Secure To Cabinet,Trash Compactor - Secure To Cabinet,Labor > Appliances > Trash Compactor > Secure To Cabinet,each,60,40,80,10,30,no,2026,,Fasten compactor to adjacent cabinet/anti-tip brackets. Quick task; anti-tip tier.,Anchor: Range/Oven Install Anti-Tip Device $60/30min; comparable securing task,med,
Appliances,Appliances > Washing Machine > Install New - Ground Up,Washing Machine - Install New - Ground Up,Labor > Appliances > Washing Machine > Install New - Ground Up,each,85,60,100,10,45,no,2026,,"Set washer, connect hot/cold supply hoses + drain, level (existing hookups). Matches install anchor.",Anchor: Washing Machine Install Or Remove $85/45min; Homewyse washer labor existing hookups $100-300,high,
Appliances,Appliances > Washing Machine > Remove Debris From Trap,Washing Machine - Remove Debris From Trap,Labor > Appliances > Washing Machine > Remove Debris From Trap,each,80,55,90,5,45,no,2026,,"Access + clear coin/lint pump filter trap, flush. Exact match to book anchor.",Anchor: Washing Machine Clear Drain Side Debris $80/45min; same task,high,
Appliances,Appliances > Washing Machine > Replace Knobs,Washing Machine - Replace Knobs,Labor > Appliances > Washing Machine > Replace Knobs,each,45,25,50,15,20,no,2026,,Pull-and-press knob swap; trivial. Small-part swap tier.,Anchor tier: Replace Filters/Turntable $43.33/20min; knob $10-25,high,
Appliances,Appliances > Washing Machine > Replace Plug,Washing Machine - Replace Plug,Labor > Appliances > Washing Machine > Replace Plug,each,90,75,135,15,45,no,2026,A gas hookup or new circuit is licensed gas or electrical work. We handle the set and connections on existing service; new gas or circuit we sub.,Swap 120V cord/plug end at strain relief. Cord swap legal; if receptacle/circuit work -> licensed electrical.,Anchor: Washing Machine Replace Electrical Plug $90/45min; exact match,high,VERIFY
Appliances,Appliances > Washing Machine > Replace Pump,Washing Machine - Replace Pump,Labor > Appliances > Washing Machine > Replace Pump,each,180,125,235,45,75,no,2026,,"Access cabinet, swap drain/circulation pump, reseal hoses, test. Mirrors appliance repair tier.",HomeGuide washing machine pump $150-400; FL appliance labor $75-125/hr (homeguide.com/costs/washing-machine-repair-cost),med,
Appliances,Appliances > Washing Machine > Replace Water Level Sensor,Washing Machine - Replace Water Level Sensor,Labor > Appliances > Washing Machine > Replace Water Level Sensor,each,110,75,145,30,45,no,2026,,"Access + swap pressure switch/level sensor + hose, test. Repair tier.",Angi washing machine repair $180-250; control/sensor $200-500 range; part $20-40,med,
Cabinets,Cabinets > Caulk Countertops,Caulk Countertops,Labor > Cabinets > Caulk Countertops,each,60,35,70,10,30,no,2026,,Per EACH. Clean seam & re-caulk countertop-to-backsplash/wall; direct anchor. Handyman-legal.,"Anchor 'Cabinet Countetops, Caulk' $60/30min/$10",high,
Cabinets,Cabinets > Install New - Ground Up - Bathroom Medicine,Install New - Ground Up - Bathroom Medicine,Labor > Cabinets > Install New - Ground Up - Bathroom Medicine,each,100,70,130,20,45,no,2026,,"Per EACH. Locate studs, mount surface/recessed medicine cabinet level; light install = handyman-legal.","Anchor 'Cabinet, Door, Replace' $100/45min/$25 analog; Homewyse mount cabinet $274-422/cab; recessed/surface medicine cabinet mount",med,
Cabinets,Cabinets > Install New - Ground Up - Bathroom Vanity,Install New - Ground Up - Bathroom Vanity,Labor > Cabinets > Install New - Ground Up - Bathroom Vanity,each,230,195,265,30,120,no,2026,,"Per EACH. Set & scribe vanity cabinet, shim level, anchor to wall; direct anchor. Plumbing hookup priced separately. Handyman-legal set.","Anchor 'Cabinet, Vanity, Replace/Install' $230/120min/$30; Homewyse install cabinet $274-422/cab",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Base,Install New - Ground Up - Kitchen Base,Labor > Cabinets > Install New - Ground Up - Kitchen Base,each,175,150,200,25,90,no,2026,,"Per EACH (per box). Set base cabinet, level/shim, screw to studs & join runs; direct anchor. Handyman-legal install.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25; Homewyse install kitchen base cabinet $672-1015/cab all-in",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Pantry,Install New - Ground Up - Kitchen Pantry,Labor > Cabinets > Install New - Ground Up - Kitchen Pantry,each,230,195,265,30,120,no,2026,,"Per EACH. Set tall pantry cabinet, plumb & anchor top+bottom; direct anchor. Handyman-legal install.","Anchor 'Cabinet, Pantry/Laundry, Replace/Install' $230/120min/$30; Homewyse tall cabinet install",high,
Cabinets,Cabinets > Install New - Ground Up - Kitchen Upper,Install New - Ground Up - Kitchen Upper,Labor > Cabinets > Install New - Ground Up - Kitchen Upper,each,175,150,200,25,90,no,2026,,"Per EACH (per box). Hang upper wall cabinet on ledger, level & screw to studs; maps to kitchen cabinet anchor. Handyman-legal.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25; Homewyse install wall cabinet $589-889/cab all-in",high,
Cabinets,Cabinets > Install New Countertops - Ground Up,Install New Countertops - Ground Up,Labor > Cabinets > Install New Countertops - Ground Up,each,400,340,460,0,240,no,2026,,"Per EACH (per kitchen run). Template, cut, set & fasten laminate/prefab top, seams & sink cutout; direct anchor. Countertop material customer-supplied/priced separately. Handyman-legal.","Anchor 'Cabinet Coutertops, Replace/Install' $400/240min/$0 (top customer-supplied/separate); Homewyse laminate countertop $41.94-63.77/SF",high,
Cabinets,Cabinets > Install New Door / Drawer Pulls - Ground Up,Install New Door / Drawer Pulls - Ground Up,Labor > Cabinets > Install New Door / Drawer Pulls - Ground Up,each,60,35,70,10,30,no,2026,,"Per EACH (per set/batch). Jig, drill & mount knobs/pulls on doors & drawers; direct anchor. Handyman-legal.","Anchor 'Cabinet, Door And Drawer Pulls, Replace/Install' $60/30min/$10",high,
Cabinets,Cabinets > Remove Permanently,Remove Permanently,Labor > Cabinets > Remove Permanently,each,100,70,130,0,60,yes,2026,,"Per EACH (per cabinet). Unscrew & pry cabinet from wall/floor, cap nothing (plumbing/elec by others); old box hauled to dump. Demo = handyman-legal.","Anchor context 'Cabinet, Kitchen, Replace/Install' 90min (install half is demo); Homewyse cabinet removal",med,
Cabinets,Cabinets > Repair Drawer Front,Repair Drawer Front,Labor > Cabinets > Repair Drawer Front,each,90,65,115,15,45,no,2026,,Per EACH. Re-glue/re-screw or patch loose drawer front to box; lighter than full drawer. Handyman-legal.,"Anchor 'Cabinet Drawer, Replace' $130/60min/$30; front-only repair is lighter",med,
Cabinets,Cabinets > Repair Drawer Rail,Repair Drawer Rail,Labor > Cabinets > Repair Drawer Rail,each,95,65,110,20,45,no,2026,,Per LINEAR FT (short slide run). Realign/re-secure drawer slide rail; direct anchor per-rail. Handyman-legal.,"Anchor 'Cabinet Drawer, Replace Rails' $95/45min/$20",high,
Cabinets,Cabinets > Repair Hinge,Repair Hinge,Labor > Cabinets > Repair Hinge,each,35,20,40,0,20,no,2026,,"Per EACH. Tighten/adjust/re-seat loose cabinet hinge, re-align door; direct anchor (adjustment). Handyman-legal.","Anchor 'Cabinet Door Hinges, Adjustment' $33.33/20min/$0",high,
Cabinets,Cabinets > Replace - Bathroom Medicine,Replace - Bathroom Medicine,Labor > Cabinets > Replace - Bathroom Medicine,each,130,90,170,25,60,yes,2026,,Per EACH. Remove old medicine cabinet + mount new level; old unit hauled. Handyman-legal.,"Anchor 'Cabinet, Door, Replace' $100/45min/$25 analog + demo; medicine cabinet swap",med,
Cabinets,Cabinets > Replace - Kitchen Base,Replace - Kitchen Base,Labor > Cabinets > Replace - Kitchen Base,each,175,150,200,25,90,yes,2026,,"Per EACH (per box). Pull old base cabinet + set new, level & anchor; direct anchor. Old box hauled. Handyman-legal.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25",high,
Cabinets,Cabinets > Replace - Kitchen Pantry,Replace - Kitchen Pantry,Labor > Cabinets > Replace - Kitchen Pantry,each,230,195,265,30,120,yes,2026,,"Per EACH. Remove old tall pantry + set new, plumb & anchor; direct anchor. Old cabinet hauled. Handyman-legal.","Anchor 'Cabinet, Pantry/Laundry, Replace/Install' $230/120min/$30",high,
Cabinets,Cabinets > Replace - Kitchen Upper,Replace - Kitchen Upper,Labor > Cabinets > Replace - Kitchen Upper,each,175,150,200,25,90,yes,2026,,"Per EACH (per box). Take down old upper + hang new, level & screw to studs; maps to kitchen anchor. Old box hauled. Handyman-legal.","Anchor 'Cabinet, Kitchen, Replace/Install' $175/90min/$25",high,
Cabinets,Cabinets > Replace Cabinet Bottom - Full,Replace Cabinet Bottom - Full,Labor > Cabinets > Replace Cabinet Bottom - Full,each,240,205,275,40,120,yes,2026,,"Per EACH. Cut out rotten sink-base bottom, fit & fasten full new plywood deck, seal; direct anchor. Debris hauled. Handyman-legal.","Anchor 'Cabinet, Rotten Sink Cabinet Bottom, Replace' $240/120min/$40",high,
