Trade,New item (needs a price),Taxonomy path
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Electric Coil,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Electric Coil
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Knob,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Knob
Appliances,Appliances > Full Range (Cooktop + Oven) > Replace Oven Door,Labor > Appliances > Full Range (Cooktop + Oven) > Replace Oven Door
Appliances,Appliances > Microwave > Install New - Ground Up,Labor > Appliances > Microwave > Install New - Ground Up
Appliances,Appliances > Microwave > Replace Bulb,Labor > Appliances > Microwave > Replace Bulb
Appliances,Appliances > Microwave > Replace Door,Labor > Appliances > Microwave > Replace Door
Appliances,Appliances > Microwave > Replace Fuse,Labor > Appliances > Microwave > Replace Fuse
Appliances,Appliances > Microwave > Replace Turntable,Labor > Appliances > Microwave > Replace Turntable
Appliances,Appliances > Range Hood > Install New - Ground Up,Labor > Appliances > Range Hood > Install New - Ground Up
Appliances,Appliances > Refrigerator > Clean & Blow Out Coils / Heat Exchanger,Labor > Appliances > Refrigerator > Clean & Blow Out Coils / Heat Exchanger
Appliances,Appliances > Refrigerator > Haul Away Old Refrigerator,Labor > Appliances > Refrigerator > Haul Away Old Refrigerator
Appliances,Appliances > Refrigerator > Install External Water Filter - Ground Up,Labor > Appliances > Refrigerator > Install External Water Filter - Ground Up
Appliances,Appliances > Refrigerator > Repair Water / Ice Dispenser,Labor > Appliances > Refrigerator > Repair Water / Ice Dispenser
Appliances,Appliances > Refrigerator > Replace Air Filter,Labor > Appliances > Refrigerator > Replace Air Filter
Appliances,Appliances > Refrigerator > Replace Water / Ice Dispenser,Labor > Appliances > Refrigerator > Replace Water / Ice Dispenser
Appliances,Appliances > Refrigerator > Run & Install Supply Line - Ground Up,Labor > Appliances > Refrigerator > Run & Install Supply Line - Ground Up
Appliances,Appliances > Standalone Cooktop > Install New - Ground Up,Labor > Appliances > Standalone Cooktop > Install New - Ground Up
Appliances,Appliances > Standalone Cooktop > Replace Burner,Labor > Appliances > Standalone Cooktop > Replace Burner
Appliances,Appliances > Standalone Cooktop > Replace Coil,Labor > Appliances > Standalone Cooktop > Replace Coil
Appliances,Appliances > Standalone Cooktop > Replace Drip Pans,Labor > Appliances > Standalone Cooktop > Replace Drip Pans
Appliances,Appliances > Standalone Or Double Oven > Install Built In Oven - Ground Up,Labor > Appliances > Standalone Or Double Oven > Install Built In Oven - Ground Up
Appliances,Appliances > Standalone Or Double Oven > Replace Built In Oven,Labor > Appliances > Standalone Or Double Oven > Replace Built In Oven
Appliances,Appliances > Standalone Or Double Oven > Replace Oven Door,Labor > Appliances > Standalone Or Double Oven > Replace Oven Door
Appliances,Appliances > Trash Compactor > Install New - Ground Up,Labor > Appliances > Trash Compactor > Install New - Ground Up
Appliances,Appliances > Trash Compactor > Replace,Labor > Appliances > Trash Compactor > Replace
Appliances,Appliances > Trash Compactor > Secure To Cabinet,Labor > Appliances > Trash Compactor > Secure To Cabinet
Appliances,Appliances > Washing Machine > Install New - Ground Up,Labor > Appliances > Washing Machine > Install New - Ground Up
Appliances,Appliances > Washing Machine > Remove Debris From Trap,Labor > Appliances > Washing Machine > Remove Debris From Trap
Appliances,Appliances > Washing Machine > Replace Knobs,Labor > Appliances > Washing Machine > Replace Knobs
Appliances,Appliances > Washing Machine > Replace Plug,Labor > Appliances > Washing Machine > Replace Plug
Appliances,Appliances > Washing Machine > Replace Pump,Labor > Appliances > Washing Machine > Replace Pump
Appliances,Appliances > Washing Machine > Replace Water Level Sensor,Labor > Appliances > Washing Machine > Replace Water Level Sensor
Cabinets,Cabinets > Caulk Countertops,Labor > Cabinets > Caulk Countertops
Cabinets,Cabinets > Install New - Ground Up - Bathroom Medicine,Labor > Cabinets > Install New - Ground Up - Bathroom Medicine
Cabinets,Cabinets > Install New - Ground Up - Bathroom Vanity,Labor > Cabinets > Install New - Ground Up - Bathroom Vanity
Cabinets,Cabinets > Install New - Ground Up - Kitchen Base,Labor > Cabinets > Install New - Ground Up - Kitchen Base
Cabinets,Cabinets > Install New - Ground Up - Kitchen Pantry,Labor > Cabinets > Install New - Ground Up - Kitchen Pantry
Cabinets,Cabinets > Install New - Ground Up - Kitchen Upper,Labor > Cabinets > Install New - Ground Up - Kitchen Upper
Cabinets,Cabinets > Install New Countertops - Ground Up,Labor > Cabinets > Install New Countertops - Ground Up
Cabinets,Cabinets > Install New Door / Drawer Pulls - Ground Up,Labor > Cabinets > Install New Door / Drawer Pulls - Ground Up
Cabinets,Cabinets > Remove Permanently,Labor > Cabinets > Remove Permanently
Cabinets,Cabinets > Repair Drawer Front,Labor > Cabinets > Repair Drawer Front
Cabinets,Cabinets > Repair Drawer Rail,Labor > Cabinets > Repair Drawer Rail
Cabinets,Cabinets > Repair Hinge,Labor > Cabinets > Repair Hinge
Cabinets,Cabinets > Replace - Bathroom Medicine,Labor > Cabinets > Replace - Bathroom Medicine
Cabinets,Cabinets > Replace - Kitchen Base,Labor > Cabinets > Replace - Kitchen Base
Cabinets,Cabinets > Replace - Kitchen Pantry,Labor > Cabinets > Replace - Kitchen Pantry
Cabinets,Cabinets > Replace - Kitchen Upper,Labor > Cabinets > Replace - Kitchen Upper
Cabinets,Cabinets > Replace Cabinet Bottom - Full,Labor > Cabinets > Replace Cabinet Bottom - Full
Cabinets,Cabinets > Replace Cabinet Bottom - Overlay,Labor > Cabinets > Replace Cabinet Bottom - Overlay
Cabinets,Cabinets > Replace Countertops,Labor > Cabinets > Replace Countertops
Cabinets,Cabinets > Replace Drawer Front,Labor > Cabinets > Replace Drawer Front
Cabinets,Cabinets > Replace Drawer Rail,Labor > Cabinets > Replace Drawer Rail
Cabinets,Cabinets > Replace Hinge,Labor > Cabinets > Replace Hinge
Cabinets,Cabinets > Secure,Labor > Cabinets > Secure
Carpentry,Carpentry > Build Deck - Ground Up,Labor > Carpentry > Build Deck - Ground Up
Carpentry,Carpentry > Fill / Repair Rotten Fascia,Labor > Carpentry > Fill / Repair Rotten Fascia
Carpentry,Carpentry > Install Bannister,Labor > Carpentry > Install Bannister
Carpentry,Carpentry > Install Baseboard / Ground Up,Labor > Carpentry > Install Baseboard / Ground Up
Carpentry,Carpentry > Install Chair Rail - Ground Up,Labor > Carpentry > Install Chair Rail - Ground Up
Carpentry,Carpentry > Install Crown Molding - Ground Up,Labor > Carpentry > Install Crown Molding - Ground Up
Carpentry,Carpentry > Install Door Casing - Ground Up - Exterior,Labor > Carpentry > Install Door Casing - Ground Up - Exterior
Carpentry,Carpentry > Install Door Casing - Ground Up - Interior,Labor > Carpentry > Install Door Casing - Ground Up - Interior
Carpentry,Carpentry > Install Hand Rails,Labor > Carpentry > Install Hand Rails
Carpentry,Carpentry > Install Siding,Labor > Carpentry > Install Siding
Carpentry,Carpentry > Install Wainscott - Ground Up,Labor > Carpentry > Install Wainscott - Ground Up
Carpentry,Carpentry > Rebuild Deck - Replace Rotten Components,Labor > Carpentry > Rebuild Deck - Replace Rotten Components
Carpentry,Carpentry > Repair Bannister,Labor > Carpentry > Repair Bannister
Carpentry,Carpentry > Repair Hand Rails,Labor > Carpentry > Repair Hand Rails
Carpentry,Carpentry > Replace Crown Molding,Labor > Carpentry > Replace Crown Molding
Carpentry,Carpentry > Replace Door Casing - Ground Up - Exterior,Labor > Carpentry > Replace Door Casing - Ground Up - Exterior
Carpentry,Carpentry > Replace Porch Post,Labor > Carpentry > Replace Porch Post
Carpentry,Carpentry > Replace Rotten Fascia,Labor > Carpentry > Replace Rotten Fascia
Carpentry,Carpentry > Replace Siding,Labor > Carpentry > Replace Siding
Carpentry,Carpentry > Stairs - Interior - Rebuild Treads & Risers,Labor > Carpentry > Stairs - Interior - Rebuild Treads & Risers
Cleaning,Cleaning,Labor > Cleaning
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Audio Cable Jacks,Labor > Data / Cable / Ethernet > Install Audio Cable Jacks
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Cable Jack - Ground Up,Labor > Data / Cable / Ethernet > Install Cable Jack - Ground Up
Data / Cable / Ethernet,Data / Cable / Ethernet > Install Data Jack - Ground Up,Labor > Data / Cable / Ethernet > Install Data Jack - Ground Up
Data / Cable / Ethernet,Data / Cable / Ethernet > Install New Video Cable Jacks,Labor > Data / Cable / Ethernet > Install New Video Cable Jacks
Data / Cable / Ethernet,Data / Cable / Ethernet > Replace Cable Jack,Labor > Data / Cable / Ethernet > Replace Cable Jack
Data / Cable / Ethernet,Data / Cable / Ethernet > Replace Data Jack,Labor > Data / Cable / Ethernet > Replace Data Jack
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Audio Cable,Labor > Data / Cable / Ethernet > Run New Audio Cable
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Cable Lines,Labor > Data / Cable / Ethernet > Run New Cable Lines
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Data Lines,Labor > Data / Cable / Ethernet > Run New Data Lines
Data / Cable / Ethernet,Data / Cable / Ethernet > Run New Video Data Cables,Labor > Data / Cable / Ethernet > Run New Video Data Cables
Doors,Doors > Exterior > French > Adjustment Only,Labor > Doors > Exterior > French > Adjustment Only
Doors,Doors > Exterior > French > Install Accessory Locks,Labor > Doors > Exterior > French > Install Accessory Locks
Doors,Doors > Exterior > French > Install Alarm,Labor > Doors > Exterior > French > Install Alarm
Doors,Doors > Exterior > French > Install New - Ground Up,Labor > Doors > Exterior > French > Install New - Ground Up
Doors,Doors > Exterior > French > Install New - Replacement - Pre-Hung,Labor > Doors > Exterior > French > Install New - Replacement - Pre-Hung
Doors,Doors > Exterior > French > Install New - Replacment - Slab Only (Each),Labor > Doors > Exterior > French > Install New - Replacment - Slab Only (Each)
Doors,Doors > Exterior > French > Replace Bottom Seal (Each),Labor > Doors > Exterior > French > Replace Bottom Seal (Each)
Doors,Doors > Exterior > French > Replace Deadbolt,Labor > Doors > Exterior > French > Replace Deadbolt
Doors,Doors > Exterior > French > Replace Doorknob / Lever / Handle,Labor > Doors > Exterior > French > Replace Doorknob / Lever / Handle
Doors,Doors > Exterior > French > Replace Slider Bolt Latch,Labor > Doors > Exterior > French > Replace Slider Bolt Latch
Doors,Doors > Exterior > French > Replace Sweep (Each),Labor > Doors > Exterior > French > Replace Sweep (Each)
Doors,Doors > Exterior > French > Replace Threshold,Labor > Doors > Exterior > French > Replace Threshold
Doors,Doors > Exterior > French > Replace Weather Stripping,Labor > Doors > Exterior > French > Replace Weather Stripping
Doors,Doors > Exterior > Garage > Adjust / Align Safety Sensors,Labor > Doors > Exterior > Garage > Adjust / Align Safety Sensors
Doors,Doors > Exterior > Garage > Clean And Lube Tracks,Labor > Doors > Exterior > Garage > Clean And Lube Tracks
Doors,Doors > Exterior > Garage > Install New - Ground Up,Labor > Doors > Exterior > Garage > Install New - Ground Up
Doors,Doors > Exterior > Garage > Paint Door,Labor > Doors > Exterior > Garage > Paint Door
Doors,Doors > Exterior > Garage > Replace All Panels,Labor > Doors > Exterior > Garage > Replace All Panels
Doors,Doors > Exterior > Garage > Replace Locking / Latching Mechanism,Labor > Doors > Exterior > Garage > Replace Locking / Latching Mechanism
Doors,Doors > Exterior > Garage > Replace Motor,Labor > Doors > Exterior > Garage > Replace Motor
Doors,Doors > Exterior > Garage > Replace Panel (Single),Labor > Doors > Exterior > Garage > Replace Panel (Single)
Doors,Doors > Exterior > Garage > Replace Track,Labor > Doors > Exterior > Garage > Replace Track
Doors,Doors > Exterior > Garage > Replace Weather Stripping / Exterior Trim,Labor > Doors > Exterior > Garage > Replace Weather Stripping / Exterior Trim
Doors,Doors > Exterior > Hinged Screen > Adjustment Only,Labor > Doors > Exterior > Hinged Screen > Adjustment Only
Doors,Doors > Exterior > Hinged Screen > Install / Replace Pneumatic Door Closer,Labor > Doors > Exterior > Hinged Screen > Install / Replace Pneumatic Door Closer
Doors,Doors > Exterior > Hinged Screen > Install / Replace Spring / Chain Assembly,Labor > Doors > Exterior > Hinged Screen > Install / Replace Spring / Chain Assembly
Doors,Doors > Exterior > Hinged Screen > Install New - Ground Up,Labor > Doors > Exterior > Hinged Screen > Install New - Ground Up
Doors,Doors > Exterior > Hinged Screen > Install New - Replacement,Labor > Doors > Exterior > Hinged Screen > Install New - Replacement
Doors,Doors > Exterior > Hinged Screen > Replace Handle,Labor > Doors > Exterior > Hinged Screen > Replace Handle
Doors,Doors > Exterior > Security > Adjustment Only,Labor > Doors > Exterior > Security > Adjustment Only
Doors,Doors > Exterior > Security > Install New - Ground Up,Labor > Doors > Exterior > Security > Install New - Ground Up
Doors,Doors > Exterior > Security > Install New - Replacement,Labor > Doors > Exterior > Security > Install New - Replacement
Doors,Doors > Exterior > Security > Replace Deadbolt,Labor > Doors > Exterior > Security > Replace Deadbolt
Doors,Doors > Exterior > Security > Replace Doorknob / Lever / Handle,Labor > Doors > Exterior > Security > Replace Doorknob / Lever / Handle
Doors,Doors > Exterior > Sliding Glass > Clean And Lubricate Track,Labor > Doors > Exterior > Sliding Glass > Clean And Lubricate Track
Doors,Doors > Exterior > Sliding Glass > Install Alarm,Labor > Doors > Exterior > Sliding Glass > Install Alarm
Doors,Doors > Exterior > Sliding Glass > Install New - Fixed Pane,Labor > Doors > Exterior > Sliding Glass > Install New - Fixed Pane
Doors,Doors > Exterior > Sliding Glass > Install New - Full Replacement,Labor > Doors > Exterior > Sliding Glass > Install New - Full Replacement
Doors,Doors > Exterior > Sliding Glass > Install New - Ground Up,Labor > Doors > Exterior > Sliding Glass > Install New - Ground Up
Doors,Doors > Exterior > Sliding Glass > Install New - Slider Pane,Labor > Doors > Exterior > Sliding Glass > Install New - Slider Pane
Doors,Doors > Exterior > Sliding Glass > Install Secondary Pin Lock,Labor > Doors > Exterior > Sliding Glass > Install Secondary Pin Lock
Doors,Doors > Exterior > Sliding Glass > Replace Handle / Latch Assembly,Labor > Doors > Exterior > Sliding Glass > Replace Handle / Latch Assembly
Doors,Doors > Exterior > Sliding Glass > Replace Mortise Style Latch,Labor > Doors > Exterior > Sliding Glass > Replace Mortise Style Latch
Doors,Doors > Exterior > Sliding Glass > Replace Wheels,Labor > Doors > Exterior > Sliding Glass > Replace Wheels
Doors,Doors > Exterior > Sliding Screen > Adjustment Only,Labor > Doors > Exterior > Sliding Screen > Adjustment Only
Doors,Doors > Exterior > Sliding Screen > Install New,Labor > Doors > Exterior > Sliding Screen > Install New
Doors,Doors > Exterior > Standard Slab > Adjust To Latch And Lock Smoothly,Labor > Doors > Exterior > Standard Slab > Adjust To Latch And Lock Smoothly
Doors,Doors > Exterior > Standard Slab > Install / Replace / Adjust Self Closing Hinge,Labor > Doors > Exterior > Standard Slab > Install / Replace / Adjust Self Closing Hinge
Doors,Doors > Exterior > Standard Slab > Install Alarm,Labor > Doors > Exterior > Standard Slab > Install Alarm
Doors,Doors > Exterior > Standard Slab > Install Knocker,Labor > Doors > Exterior > Standard Slab > Install Knocker
Doors,Doors > Exterior > Standard Slab > Install New (Pre-Hung),Labor > Doors > Exterior > Standard Slab > Install New (Pre-Hung)
Doors,Doors > Exterior > Standard Slab > Install New (Slab Only),Labor > Doors > Exterior > Standard Slab > Install New (Slab Only)
Doors,Doors > Exterior > Standard Slab > Install New - Ground Up,Labor > Doors > Exterior > Standard Slab > Install New - Ground Up
Doors,Doors > Exterior > Standard Slab > Install Peephole,Labor > Doors > Exterior > Standard Slab > Install Peephole
Doors,Doors > Exterior > Standard Slab > Install Security Sleeve,Labor > Doors > Exterior > Standard Slab > Install Security Sleeve
Doors,Doors > Exterior > Standard Slab > Install Security Strike Plate Or Reinforcement,Labor > Doors > Exterior > Standard Slab > Install Security Strike Plate Or Reinforcement
Doors,Doors > Exterior > Standard Slab > Mortise For Doorknob Or Deadbolt,Labor > Doors > Exterior > Standard Slab > Mortise For Doorknob Or Deadbolt
Doors,Doors > Exterior > Standard Slab > Rekey,Labor > Doors > Exterior > Standard Slab > Rekey
Doors,Doors > Exterior > Standard Slab > Repair / Replace Hinge,Labor > Doors > Exterior > Standard Slab > Repair / Replace Hinge
Doors,Doors > Exterior > Standard Slab > Replace Bolt For Deadbolt,Labor > Doors > Exterior > Standard Slab > Replace Bolt For Deadbolt
Doors,Doors > Exterior > Standard Slab > Replace Deadbolt,Labor > Doors > Exterior > Standard Slab > Replace Deadbolt
Doors,Doors > Exterior > Standard Slab > Replace Doorknob / Lever / Handle,Labor > Doors > Exterior > Standard Slab > Replace Doorknob / Lever / Handle
Doors,Doors > Exterior > Standard Slab > Replace Latch For Doorknob,Labor > Doors > Exterior > Standard Slab > Replace Latch For Doorknob
Doors,Doors > Exterior > Standard Slab > Replace Sweep,Labor > Doors > Exterior > Standard Slab > Replace Sweep
Doors,Doors > Exterior > Standard Slab > Replace Threshold,Labor > Doors > Exterior > Standard Slab > Replace Threshold
Doors,Doors > Exterior > Standard Slab > Replace Weather Stripping,Labor > Doors > Exterior > Standard Slab > Replace Weather Stripping
Doors,Doors > Exterior > Storm > Adjustment Only,Labor > Doors > Exterior > Storm > Adjustment Only
Doors,Doors > Exterior > Storm > Install New - Ground Up,Labor > Doors > Exterior > Storm > Install New - Ground Up
Doors,Doors > Exterior > Storm > Install New - Replacment,Labor > Doors > Exterior > Storm > Install New - Replacment
Doors,Doors > Exterior > Storm > Install Or Replace Pneumatic Closer,Labor > Doors > Exterior > Storm > Install Or Replace Pneumatic Closer
Doors,Doors > Exterior > Storm > Install Or Replace Spring & Chain,Labor > Doors > Exterior > Storm > Install Or Replace Spring & Chain
Doors,Doors > Exterior > Storm > Replace Glass / Plexiglass,Labor > Doors > Exterior > Storm > Replace Glass / Plexiglass
Doors,Doors > Exterior > Storm > Replace Handle / Lock / Latch,Labor > Doors > Exterior > Storm > Replace Handle / Lock / Latch
Doors,Doors > Interior > Accordion > Adjust Only,Labor > Doors > Interior > Accordion > Adjust Only
Doors,Doors > Interior > Accordion > Install New - Ground Up,Labor > Doors > Interior > Accordion > Install New - Ground Up
Doors,Doors > Interior > Accordion > Replace Door (Accordion Only),Labor > Doors > Interior > Accordion > Replace Door (Accordion Only)
Doors,Doors > Interior > Accordion > Replace Latching / Locking Mechanism,Labor > Doors > Interior > Accordion > Replace Latching / Locking Mechanism
Doors,Doors > Interior > Barn > Adjust Only,Labor > Doors > Interior > Barn > Adjust Only
Doors,Doors > Interior > Barn > Install New - Ground Up,Labor > Doors > Interior > Barn > Install New - Ground Up
Doors,Doors > Interior > Barn > Replace Hardware (All),Labor > Doors > Interior > Barn > Replace Hardware (All)
Doors,Doors > Interior > Bifold > Adjust Only,Labor > Doors > Interior > Bifold > Adjust Only
Doors,Doors > Interior > Bifold > Install Knob (Each),Labor > Doors > Interior > Bifold > Install Knob (Each)
Doors,Doors > Interior > Bifold > Install New Assembly - Ground Up (Each),Labor > Doors > Interior > Bifold > Install New Assembly - Ground Up (Each)
Doors,Doors > Interior > Bifold > Replace All Hardware (Each),Labor > Doors > Interior > Bifold > Replace All Hardware (Each)
Doors,Doors > Interior > Bifold > Replace Door Assembly (Each),Labor > Doors > Interior > Bifold > Replace Door Assembly (Each)
Doors,Doors > Interior > Bifold > Replace Headrail (Each),Labor > Doors > Interior > Bifold > Replace Headrail (Each)
Doors,Doors > Interior > Bypass > Adjust Only,Labor > Doors > Interior > Bypass > Adjust Only
Doors,Doors > Interior > Bypass > Install Flush Door Pull,Labor > Doors > Interior > Bypass > Install Flush Door Pull
Doors,Doors > Interior > Bypass > Install New - Ground Up,Labor > Doors > Interior > Bypass > Install New - Ground Up
Doors,Doors > Interior > Bypass > Replace Door (Each),Labor > Doors > Interior > Bypass > Replace Door (Each)
Doors,Doors > Interior > Pocket > Repair Or Adjust Stuck Door,Labor > Doors > Interior > Pocket > Repair Or Adjust Stuck Door
Doors,Doors > Interior > Pocket > Replace Handle / Latch Mechanism,Labor > Doors > Interior > Pocket > Replace Handle / Latch Mechanism
Doors,Doors > Interior > Shower > Bypass > Adjust Only,Labor > Doors > Interior > Shower > Bypass > Adjust Only
Doors,Doors > Interior > Shower > Bypass > Install New - Ground Up,Labor > Doors > Interior > Shower > Bypass > Install New - Ground Up
Doors,Doors > Interior > Shower > Bypass > Replace Bumpers,Labor > Doors > Interior > Shower > Bypass > Replace Bumpers
Doors,Doors > Interior > Shower > Bypass > Replace Handle,Labor > Doors > Interior > Shower > Bypass > Replace Handle
Doors,Doors > Interior > Shower > Hinged > Adjust Only,Labor > Doors > Interior > Shower > Hinged > Adjust Only
Doors,Doors > Interior > Shower > Hinged > Install New - Ground Up,Labor > Doors > Interior > Shower > Hinged > Install New - Ground Up
Doors,Doors > Interior > Shower > Hinged > Replace Door (Each),Labor > Doors > Interior > Shower > Hinged > Replace Door (Each)
Doors,Doors > Interior > Shower > Hinged > Replace Handle,Labor > Doors > Interior > Shower > Hinged > Replace Handle
Doors,Doors > Interior > Shower > Hinged > Replace Latch / Magnet,Labor > Doors > Interior > Shower > Hinged > Replace Latch / Magnet
Doors,Doors > Interior > Shower > Hinged > Replace Trim / Strips,Labor > Doors > Interior > Shower > Hinged > Replace Trim / Strips
Doors,Doors > Interior > Standard Slab > Install New - Ground Up,Labor > Doors > Interior > Standard Slab > Install New - Ground Up
Doors,Doors > Interior > Standard Slab > Repair / Replace Hinge,Labor > Doors > Interior > Standard Slab > Repair / Replace Hinge
Doors,Doors > Interior > Standard Slab > Replace Door (Pre-Hung),Labor > Doors > Interior > Standard Slab > Replace Door (Pre-Hung)
Doors,Doors > Miscellaneous > Install Doorstop,Labor > Doors > Miscellaneous > Install Doorstop
Electrical,Electrical > Bulbs > Specialty - Replace,Labor > Electrical > Bulbs > Specialty - Replace
Electrical,Electrical > Distribution > Install / Replace Weatherproof Gang Box,Labor > Electrical > Distribution > Install / Replace Weatherproof Gang Box
Electrical,Electrical > Distribution > Install Ceiling Fan Rated Box,Labor > Electrical > Distribution > Install Ceiling Fan Rated Box
Electrical,Electrical > Distribution > Replace / Install AFCI Breaker,Labor > Electrical > Distribution > Replace / Install AFCI Breaker
Electrical,Electrical > Distribution > Replace / Install Double Pole Breaker,Labor > Electrical > Distribution > Replace / Install Double Pole Breaker
Electrical,Electrical > Distribution > Replace / Install GFCI Breaker,Labor > Electrical > Distribution > Replace / Install GFCI Breaker
Electrical,Electrical > Distribution > Replace / Install Gang Box,Labor > Electrical > Distribution > Replace / Install Gang Box
Electrical,Electrical > Distribution > Replace / Install Junction Box,Labor > Electrical > Distribution > Replace / Install Junction Box
Electrical,Electrical > Distribution > Replace / Install Single Pole Circuit Breaker,Labor > Electrical > Distribution > Replace / Install Single Pole Circuit Breaker
Electrical,Electrical > Distribution > Replace Fuse,Labor > Electrical > Distribution > Replace Fuse
Electrical,Electrical > Distribution > Reset Breaker,Labor > Electrical > Distribution > Reset Breaker
Electrical,Electrical > Distribution > Run New Conduit,Labor > Electrical > Distribution > Run New Conduit
Electrical,Electrical > Distribution > Run New Leg From Panel,Labor > Electrical > Distribution > Run New Leg From Panel
Electrical,Electrical > Distribution > Troubleshoot / Diagonose,Labor > Electrical > Distribution > Troubleshoot / Diagonose
Electrical,Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up,Labor > Electrical > Doorbells > Smart > Install Smart Doorbell - Ground Up
Electrical,Electrical > Doorbells > Smart > Program Smart Doorbell,Labor > Electrical > Doorbells > Smart > Program Smart Doorbell
Electrical,Electrical > Doorbells > Smart > Remove Smart Doorbell,Labor > Electrical > Doorbells > Smart > Remove Smart Doorbell
Electrical,Electrical > Doorbells > Smart > Replace Smart Doorbell,Labor > Electrical > Doorbells > Smart > Replace Smart Doorbell
Electrical,Electrical > Doorbells > Wired > Diagnose / Troubleshoot,Labor > Electrical > Doorbells > Wired > Diagnose / Troubleshoot
Electrical,Electrical > Doorbells > Wired > Install New System - Ground Up,Labor > Electrical > Doorbells > Wired > Install New System - Ground Up
Electrical,Electrical > Doorbells > Wired > Repair Chimes In Chime Box,Labor > Electrical > Doorbells > Wired > Repair Chimes In Chime Box
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Chime Box,Labor > Electrical > Doorbells > Wired > Repair Wiring - Chime Box
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Pushbutton,Labor > Electrical > Doorbells > Wired > Repair Wiring - Pushbutton
Electrical,Electrical > Doorbells > Wired > Repair Wiring - Transformer,Labor > Electrical > Doorbells > Wired > Repair Wiring - Transformer
Electrical,Electrical > Doorbells > Wired > Replace Pushbutton,Labor > Electrical > Doorbells > Wired > Replace Pushbutton
Electrical,Electrical > Doorbells > Wired > Run New Wiring,Labor > Electrical > Doorbells > Wired > Run New Wiring
Electrical,Electrical > Doorbells > Wireless > Diagnose / Troubleshoot,Labor > Electrical > Doorbells > Wireless > Diagnose / Troubleshoot
Electrical,Electrical > Doorbells > Wireless > Install New - Ground Up,Labor > Electrical > Doorbells > Wireless > Install New - Ground Up
